Date,Price_(ln),Volume_(ln),Large_SKU_Price_(ln),Competitor1_Price_(ln),Competitor2_Price_(ln)
01-04-2017,10.45306031,11.66015359,10.81891742,10.70226615,10.77034805
01-05-2017,10.4607216,11.66330094,10.82684686,10.72083,10.73795333
01-06-2017,10.50790131,11.62155305,10.87567786,10.7266633,10.76630646
01-07-2017,10.51661962,11.56716082,10.88470131,10.71703782,10.78433041
01-08-2017,10.51589396,11.96567564,10.88395025,10.70627637,10.74917405
01-09-2017,10.50245026,11.90665047,10.87003601,10.72494398,10.75035464
01-10-2017,10.49348781,11.94926841,10.86075988,10.72829793,10.74781722
01-11-2017,10.4884692,11.99024205,10.85556562,10.74429389,10.74964563
01-12-2017,10.48599929,11.97040433,10.85300926,10.73710783,10.76138095
01-01-2018,10.48011248,12.01601886,10.84691642,10.73492482,10.77202564
01-02-2018,10.48483226,11.8821249,10.85180139,10.72340013,10.77202317
01-03-2018,10.47861455,11.96354661,10.84536606,10.71699487,10.78631391
01-04-2018,10.47407576,11.9487388,10.84066842,10.73478656,10.78276336
01-05-2018,10.47168644,12.00474104,10.83819547,10.71406032,10.77669253
01-06-2018,10.47029946,11.87804941,10.83675994,10.71617219,10.77938641
01-07-2018,10.45382251,11.93567153,10.8197063,10.72377213,10.79373314
01-08-2018,10.41107261,11.90881879,10.77546015,10.73854854,10.78267765
01-09-2018,10.43789784,11.72474191,10.80322426,10.74568029,10.79324617
01-10-2018,10.47120939,11.79479837,10.83770172,10.77114664,10.79783741
01-11-2018,10.46994209,11.71097986,10.83639006,10.76743169,10.80756916
01-12-2018,10.48269344,11.82452535,10.84958771,10.78648014,10.8228936
01-01-2019,10.48667704,11.83170602,10.85371073,10.79765707,10.83539184
01-02-2019,10.47736637,11.72968576,10.84407419,10.79281774,10.82521441
01-03-2019,10.46397314,11.88547641,10.8302122,10.79020864,10.83108293
01-04-2019,10.45806661,11.87908026,10.82409895,10.80058983,10.83887034
01-05-2019,10.44376923,11.83148795,10.80930115,10.7987505,10.81382517
01-06-2019,10.44343726,11.68946868,10.80895756,10.8119413,10.80632255
01-07-2019,10.4538844,11.68010699,10.81977036,10.82016271,10.81780394
01-08-2019,10.4555272,11.65211923,10.82147065,10.81543074,10.82286785
01-09-2019,10.46879778,11.60397358,10.8352057,10.81541036,10.82303589
01-10-2019,10.47414528,11.64017871,10.84074037,10.81980892,10.84060911
01-11-2019,10.48417488,11.60378596,10.851121,10.83431684,10.89370743
01-12-2019,10.51661834,11.63716727,10.88469998,10.83400244,10.88752526
01-01-2020,10.51380551,11.58861195,10.8817887,10.83519147,10.86352993
01-02-2020,10.51713135,11.54715756,10.88523095,10.8283994,10.86161143
01-03-2020,10.51621241,11.57423333,10.88427984,10.83800748,10.93457654
